[ 2025-06-10 11:04:00,369 ] 20 root - INFO - Initiate the data ingestion
[ 2025-06-10 11:04:02,062 ] 60 root - INFO - Performed train test split on the dataframe
[ 2025-06-10 11:04:02,062 ] 62 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-10 11:04:02,078 ] 70 root - INFO - Exporting train and test file path.
[ 2025-06-10 11:04:02,126 ] 79 root - INFO - Exported train and test file path.
[ 2025-06-10 11:04:02,126 ] 22 root - INFO - Data Initiation Completed
[ 2025-06-10 11:04:02,126 ] 26 root - INFO - Initiate the data Validation
[ 2025-06-10 11:04:02,192 ] 32 root - INFO - Required number of columns:2
[ 2025-06-10 11:04:02,192 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-10 11:04:02,192 ] 32 root - INFO - Required number of columns:2
[ 2025-06-10 11:04:02,192 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-10 11:04:02,339 ] 28 root - INFO - data Validation Completed
[ 2025-06-10 11:04:02,339 ] 31 root - INFO - data Transformation started
[ 2025-06-10 11:04:02,339 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-10 11:04:02,339 ] 65 root - INFO - Starting data transformation
[ 2025-06-10 11:04:02,364 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-10 11:04:02,364 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-10 11:04:02,376 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-10 11:04:02,376 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-10 11:04:02,376 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-10 11:04:02,376 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-10 11:04:02,392 ] 35 root - INFO - data Transformation completed
[ 2025-06-10 11:04:02,392 ] 37 root - INFO - Model Training sstared
